Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GCLD-9,Chrome 71.0.3578.98,,2019-02-07 16:03:57,2019-02-07 16:11:38,7m - 41.532s,FAILED
,,,,,,
Test Cases/GCLD-9/Verify Valid Length of GTIN number,Chrome 71.0.3578.98,,2019-02-07 16:03:57,2019-02-07 16:04:24,27.187s,PASSED
"openBrowser(""https://cloud.test.gs1.org/gs1-portal"")",Chrome 71.0.3578.98,,2019-02-07 16:03:58,2019-02-07 16:04:06,8.142s,PASSED
"navigateToUrl(""https://gs1-sso-customsts.azurewebsites.net/Account/LoginSelector"")",Chrome 71.0.3578.98,,2019-02-07 16:04:06,2019-02-07 16:04:06,0.424s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_E-mail_Email""), email)",Chrome 71.0.3578.98,,2019-02-07 16:04:06,2019-02-07 16:04:07,0.328s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:04:07,2019-02-07 16:04:08,1.009s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_Password""), password)",Chrome 71.0.3578.98,,2019-02-07 16:04:08,2019-02-07 16:04:08,0.091s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_btn btn-default""))",Chrome 71.0.3578.98,,2019-02-07 16:04:08,2019-02-07 16:04:19,11.014s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Home/a_Services""))",Chrome 71.0.3578.98,,2019-02-07 16:04:19,2019-02-07 16:04:19,0.072s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:04:19,2019-02-07 16:04:20,1.003s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Services/a_Check""))",Chrome 71.0.3578.98,,2019-02-07 16:04:20,2019-02-07 16:04:20,0.688s,PASSED
"setText(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Check/input_Global Trade Item Number""), Checkgtinlength)",Chrome 71.0.3578.98,,2019-02-07 16:04:20,2019-02-07 16:04:22,1.758s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Check/button_Search""))",Chrome 71.0.3578.98,,2019-02-07 16:04:22,2019-02-07 16:04:24,2.056s,PASSED
"verifyTextPresent(validation, false)",Chrome 71.0.3578.98,,2019-02-07 16:04:24,2019-02-07 16:04:24,0.060s,PASSED
,,,,,,
Test Cases/GCLD-9/Verify Valid Length of GTIN number,Chrome 71.0.3578.98,,2019-02-07 16:04:24,2019-02-07 16:04:45,20.790s,PASSED
"openBrowser(""https://cloud.test.gs1.org/gs1-portal"")",Chrome 71.0.3578.98,,2019-02-07 16:04:24,2019-02-07 16:04:30,5.831s,PASSED
"navigateToUrl(""https://gs1-sso-customsts.azurewebsites.net/Account/LoginSelector"")",Chrome 71.0.3578.98,,2019-02-07 16:04:30,2019-02-07 16:04:30,0.255s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_E-mail_Email""), email)",Chrome 71.0.3578.98,,2019-02-07 16:04:30,2019-02-07 16:04:31,0.167s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:04:31,2019-02-07 16:04:32,1.006s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_Password""), password)",Chrome 71.0.3578.98,,2019-02-07 16:04:32,2019-02-07 16:04:32,0.091s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_btn btn-default""))",Chrome 71.0.3578.98,,2019-02-07 16:04:32,2019-02-07 16:04:40,7.886s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Home/a_Services""))",Chrome 71.0.3578.98,,2019-02-07 16:04:40,2019-02-07 16:04:40,0.064s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:04:40,2019-02-07 16:04:41,1.005s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Services/a_Check""))",Chrome 71.0.3578.98,,2019-02-07 16:04:41,2019-02-07 16:04:41,0.781s,PASSED
"setText(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Check/input_Global Trade Item Number""), Checkgtinlength)",Chrome 71.0.3578.98,,2019-02-07 16:04:41,2019-02-07 16:04:43,1.810s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Check/button_Search""))",Chrome 71.0.3578.98,,2019-02-07 16:04:43,2019-02-07 16:04:45,1.818s,PASSED
"verifyTextPresent(validation, false)",Chrome 71.0.3578.98,,2019-02-07 16:04:45,2019-02-07 16:04:45,0.054s,PASSED
,,,,,,
Test Cases/GCLD-9/Verify Valid Length of GTIN number,Chrome 71.0.3578.98,,2019-02-07 16:04:45,2019-02-07 16:05:12,26.395s,PASSED
"openBrowser(""https://cloud.test.gs1.org/gs1-portal"")",Chrome 71.0.3578.98,,2019-02-07 16:04:45,2019-02-07 16:04:51,5.663s,PASSED
"navigateToUrl(""https://gs1-sso-customsts.azurewebsites.net/Account/LoginSelector"")",Chrome 71.0.3578.98,,2019-02-07 16:04:51,2019-02-07 16:04:51,0.234s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_E-mail_Email""), email)",Chrome 71.0.3578.98,,2019-02-07 16:04:51,2019-02-07 16:04:51,0.180s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:04:51,2019-02-07 16:04:52,1.003s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_Password""), password)",Chrome 71.0.3578.98,,2019-02-07 16:04:52,2019-02-07 16:04:52,0.102s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_btn btn-default""))",Chrome 71.0.3578.98,,2019-02-07 16:04:52,2019-02-07 16:05:01,8.438s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Home/a_Services""))",Chrome 71.0.3578.98,,2019-02-07 16:05:01,2019-02-07 16:05:01,0.065s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:05:01,2019-02-07 16:05:02,1.004s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Services/a_Check""))",Chrome 71.0.3578.98,,2019-02-07 16:05:02,2019-02-07 16:05:03,0.992s,PASSED
"setText(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Check/input_Global Trade Item Number""), Checkgtinlength)",Chrome 71.0.3578.98,,2019-02-07 16:05:03,2019-02-07 16:05:05,2.236s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Check/button_Search""))",Chrome 71.0.3578.98,,2019-02-07 16:05:05,2019-02-07 16:05:11,6.403s,PASSED
"verifyTextPresent(validation, false)",Chrome 71.0.3578.98,,2019-02-07 16:05:11,2019-02-07 16:05:12,0.055s,PASSED
,,,,,,
Test Cases/GCLD-9/Verify Valid Length of GTIN number,Chrome 71.0.3578.98,,2019-02-07 16:05:12,2019-02-07 16:05:38,26.898s,PASSED
"openBrowser(""https://cloud.test.gs1.org/gs1-portal"")",Chrome 71.0.3578.98,,2019-02-07 16:05:12,2019-02-07 16:05:18,5.970s,PASSED
"navigateToUrl(""https://gs1-sso-customsts.azurewebsites.net/Account/LoginSelector"")",Chrome 71.0.3578.98,,2019-02-07 16:05:18,2019-02-07 16:05:18,0.421s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_E-mail_Email""), email)",Chrome 71.0.3578.98,,2019-02-07 16:05:18,2019-02-07 16:05:18,0.180s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:05:18,2019-02-07 16:05:19,1.004s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_Password""), password)",Chrome 71.0.3578.98,,2019-02-07 16:05:19,2019-02-07 16:05:19,0.094s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_btn btn-default""))",Chrome 71.0.3578.98,,2019-02-07 16:05:19,2019-02-07 16:05:29,10.125s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Home/a_Services""))",Chrome 71.0.3578.98,,2019-02-07 16:05:29,2019-02-07 16:05:29,0.066s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:05:29,2019-02-07 16:05:30,1.001s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Services/a_Check""))",Chrome 71.0.3578.98,,2019-02-07 16:05:30,2019-02-07 16:05:32,1.589s,PASSED
"setText(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Check/input_Global Trade Item Number""), Checkgtinlength)",Chrome 71.0.3578.98,,2019-02-07 16:05:32,2019-02-07 16:05:35,2.875s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Check/button_Search""))",Chrome 71.0.3578.98,,2019-02-07 16:05:35,2019-02-07 16:05:38,3.512s,PASSED
"verifyTextPresent(validation, false)",Chrome 71.0.3578.98,,2019-02-07 16:05:38,2019-02-07 16:05:38,0.048s,PASSED
,,,,,,
Test Cases/GCLD-9/Verify Valid Length of GTIN number,Chrome 71.0.3578.98,,2019-02-07 16:05:38,2019-02-07 16:06:06,27.368s,PASSED
"openBrowser(""https://cloud.test.gs1.org/gs1-portal"")",Chrome 71.0.3578.98,,2019-02-07 16:05:38,2019-02-07 16:05:45,6.812s,PASSED
"navigateToUrl(""https://gs1-sso-customsts.azurewebsites.net/Account/LoginSelector"")",Chrome 71.0.3578.98,,2019-02-07 16:05:45,2019-02-07 16:05:47,1.770s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_E-mail_Email""), email)",Chrome 71.0.3578.98,,2019-02-07 16:05:47,2019-02-07 16:05:47,0.146s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:05:47,2019-02-07 16:05:48,1.004s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_Password""), password)",Chrome 71.0.3578.98,,2019-02-07 16:05:48,2019-02-07 16:05:48,0.103s,PASSED
