Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GCLD-9,Chrome 71.0.3578.98,,2019-02-07 16:58:18,2019-02-07 17:05:53,7m - 35.472s,FAILED
,,,,,,
Test Cases/GCLD-9/Verify Valid Length of GTIN number,Chrome 71.0.3578.98,,2019-02-07 16:58:18,2019-02-07 16:58:44,25.680s,PASSED
"openBrowser(""https://cloud.test.gs1.org/gs1-portal"")",Chrome 71.0.3578.98,,2019-02-07 16:58:18,2019-02-07 16:58:27,8.141s,PASSED
"navigateToUrl(""https://gs1-sso-customsts.azurewebsites.net/Account/LoginSelector"")",Chrome 71.0.3578.98,,2019-02-07 16:58:27,2019-02-07 16:58:27,0.324s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_E-mail_Email""), email)",Chrome 71.0.3578.98,,2019-02-07 16:58:27,2019-02-07 16:58:27,0.237s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:58:27,2019-02-07 16:58:28,1.010s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_Password""), password)",Chrome 71.0.3578.98,,2019-02-07 16:58:28,2019-02-07 16:58:28,0.094s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_btn btn-default""))",Chrome 71.0.3578.98,,2019-02-07 16:58:28,2019-02-07 16:58:37,8.449s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Home/a_Services""))",Chrome 71.0.3578.98,,2019-02-07 16:58:37,2019-02-07 16:58:37,0.070s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:58:37,2019-02-07 16:58:38,1.005s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Services/a_Check""))",Chrome 71.0.3578.98,,2019-02-07 16:58:38,2019-02-07 16:58:39,1.233s,PASSED
"if (Checkgtinlength == ""12345A"")",Chrome 71.0.3578.98,,2019-02-07 16:58:39,2019-02-07 16:58:39,0.002s,PASSED
"if (Checkgtinlength == """")",Chrome 71.0.3578.98,,2019-02-07 16:58:39,2019-02-07 16:58:39,0.001s,PASSED
else,Chrome 71.0.3578.98,,2019-02-07 16:58:39,2019-02-07 16:58:44,4.577s,PASSED
,,,,,,
Test Cases/GCLD-9/Verify Valid Length of GTIN number,Chrome 71.0.3578.98,,2019-02-07 16:58:44,2019-02-07 16:59:10,26.396s,PASSED
"openBrowser(""https://cloud.test.gs1.org/gs1-portal"")",Chrome 71.0.3578.98,,2019-02-07 16:58:44,2019-02-07 16:58:50,6.892s,PASSED
"navigateToUrl(""https://gs1-sso-customsts.azurewebsites.net/Account/LoginSelector"")",Chrome 71.0.3578.98,,2019-02-07 16:58:50,2019-02-07 16:58:51,0.463s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_E-mail_Email""), email)",Chrome 71.0.3578.98,,2019-02-07 16:58:51,2019-02-07 16:58:51,0.177s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:58:51,2019-02-07 16:58:52,1.004s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_Password""), password)",Chrome 71.0.3578.98,,2019-02-07 16:58:52,2019-02-07 16:58:52,0.086s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_btn btn-default""))",Chrome 71.0.3578.98,,2019-02-07 16:58:52,2019-02-07 16:59:01,9.274s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Home/a_Services""))",Chrome 71.0.3578.98,,2019-02-07 16:59:01,2019-02-07 16:59:02,0.068s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:59:02,2019-02-07 16:59:03,1.002s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Services/a_Check""))",Chrome 71.0.3578.98,,2019-02-07 16:59:03,2019-02-07 16:59:04,1.666s,PASSED
"if (Checkgtinlength == ""12345A"")",Chrome 71.0.3578.98,,2019-02-07 16:59:04,2019-02-07 16:59:04,0.001s,PASSED
"if (Checkgtinlength == """")",Chrome 71.0.3578.98,,2019-02-07 16:59:04,2019-02-07 16:59:04,0.000s,PASSED
else,Chrome 71.0.3578.98,,2019-02-07 16:59:04,2019-02-07 16:59:10,5.743s,PASSED
,,,,,,
Test Cases/GCLD-9/Verify Valid Length of GTIN number,Chrome 71.0.3578.98,,2019-02-07 16:59:10,2019-02-07 16:59:42,32.114s,PASSED
"openBrowser(""https://cloud.test.gs1.org/gs1-portal"")",Chrome 71.0.3578.98,,2019-02-07 16:59:10,2019-02-07 16:59:17,6.810s,PASSED
"navigateToUrl(""https://gs1-sso-customsts.azurewebsites.net/Account/LoginSelector"")",Chrome 71.0.3578.98,,2019-02-07 16:59:17,2019-02-07 16:59:17,0.309s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_E-mail_Email""), email)",Chrome 71.0.3578.98,,2019-02-07 16:59:17,2019-02-07 16:59:17,0.149s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:59:17,2019-02-07 16:59:18,1.003s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_Password""), password)",Chrome 71.0.3578.98,,2019-02-07 16:59:18,2019-02-07 16:59:18,0.142s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_btn btn-default""))",Chrome 71.0.3578.98,,2019-02-07 16:59:18,2019-02-07 16:59:33,14.599s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Home/a_Services""))",Chrome 71.0.3578.98,,2019-02-07 16:59:33,2019-02-07 16:59:33,0.072s,PASSED
