Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GCLD-9,Chrome 71.0.3578.98,,2019-02-07 16:34:59,2019-02-07 16:42:15,7m - 16.574s,FAILED
,,,,,,
Test Cases/GCLD-9/Verify Valid Length of GTIN number,Chrome 71.0.3578.98,,2019-02-07 16:34:59,2019-02-07 16:35:28,29.513s,PASSED
"openBrowser(""https://cloud.test.gs1.org/gs1-portal"")",Chrome 71.0.3578.98,,2019-02-07 16:34:59,2019-02-07 16:35:07,7.337s,PASSED
"navigateToUrl(""https://gs1-sso-customsts.azurewebsites.net/Account/LoginSelector"")",Chrome 71.0.3578.98,,2019-02-07 16:35:07,2019-02-07 16:35:07,0.439s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_E-mail_Email""), email)",Chrome 71.0.3578.98,,2019-02-07 16:35:07,2019-02-07 16:35:07,0.219s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:35:07,2019-02-07 16:35:08,1.009s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_Password""), password)",Chrome 71.0.3578.98,,2019-02-07 16:35:08,2019-02-07 16:35:08,0.097s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_btn btn-default""))",Chrome 71.0.3578.98,,2019-02-07 16:35:08,2019-02-07 16:35:17,9.072s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Home/a_Services""))",Chrome 71.0.3578.98,,2019-02-07 16:35:17,2019-02-07 16:35:18,0.071s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:35:18,2019-02-07 16:35:19,1.001s,PASSED
"click(findTestObject(""Object Repository/Page_GS1 Cloud BETA - Services/a_Check""))",Chrome 71.0.3578.98,,2019-02-07 16:35:19,2019-02-07 16:35:23,4.153s,PASSED
"if (Checkgtinlength == ""12345A"")",Chrome 71.0.3578.98,,2019-02-07 16:35:23,2019-02-07 16:35:23,0.001s,PASSED
else,Chrome 71.0.3578.98,,2019-02-07 16:35:23,2019-02-07 16:35:28,5.634s,PASSED
,,,,,,
Test Cases/GCLD-9/Verify Valid Length of GTIN number,Chrome 71.0.3578.98,,2019-02-07 16:35:28,2019-02-07 16:35:52,23.776s,PASSED
"openBrowser(""https://cloud.test.gs1.org/gs1-portal"")",Chrome 71.0.3578.98,,2019-02-07 16:35:28,2019-02-07 16:35:34,5.686s,PASSED
"navigateToUrl(""https://gs1-sso-customsts.azurewebsites.net/Account/LoginSelector"")",Chrome 71.0.3578.98,,2019-02-07 16:35:34,2019-02-07 16:35:34,0.238s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_E-mail_Email""), email)",Chrome 71.0.3578.98,,2019-02-07 16:35:34,2019-02-07 16:35:34,0.181s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.98,,2019-02-07 16:35:34,2019-02-07 16:35:35,1.002s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in - GS1 STS Server/input_Password_Password""), password)",Chrome 71.0.3578.98,,2019-02-07 16:35:35,2019-02-07 16:35:36,0.089s,PASSED
